club_id,club_code,name,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,last_season,url,transfer_euros
235,rkc-waalwijk,336,NL1,28,26.0,16,57.1,5,Mandemakers Stadion,7508,+€3.00m,2022,https://www.transfermarkt.co.uk/rkc-waalwijk/startseite/verein/235,3000000.0
23826,rasenballsport-leipzig,329,L1,27,25.6,17,63.0,18,Red Bull Arena,47069,+€16.32m,2022,https://www.transfermarkt.co.uk/rasenballsport-leipzig/startseite/verein/23826,16320000.0
27,fc-bayern-munchen,61,L1,27,26.4,16,59.3,21,Allianz Arena,75024,€-41.40m,2022,https://www.transfermarkt.co.uk/fc-bayern-munchen/startseite/verein/27,-41400000.0
273,fc-stade-rennes,419,FR1,28,24.5,14,50.0,11,Roazhon Park,29778,+€14.50m,2022,https://www.transfermarkt.co.uk/fc-stade-rennes/startseite/verein/273,14500000.0
3524,clermont-foot-63,114,FR1,25,25.8,15,60.0,7,Stade Gabriel-Montpied,13000,+€19.10m,2022,https://www.transfermarkt.co.uk/clermont-foot-63/startseite/verein/3524,19100000.0
39,1-fsv-mainz-05,204,L1,27,25.1,13,48.1,9,Mewa Arena,33305,+€450k,2022,https://www.transfermarkt.co.uk/1-fsv-mainz-05/startseite/verein/39,450000.0
416,fc-turin,430,IT1,28,24.6,23,82.1,17,Stadio Olimpico Grande Torino,28177,+€22.12m,2022,https://www.transfermarkt.co.uk/fc-turin/startseite/verein/416,22120000.0
80,vfl-bochum,461,L1,28,28.1,17,60.7,7,Vonovia Ruhrstadion,26000,+€14.27m,2022,https://www.transfermarkt.co.uk/vfl-bochum/startseite/verein/80,14270000.0
969,montpellier-hsc,290,FR1,28,25.7,12,42.9,5,Stade de la Mosson,32939,+€500k,2022,https://www.transfermarkt.co.uk/montpellier-hsc/startseite/verein/969,500000.0
1050,fc-villarreal,465,ES1,23,28.3,9,39.1,8,La Cerámica,23500,+€25.12m,2022,https://www.transfermarkt.co.uk/fc-villarreal/startseite/verein/1050,25120000.0
1186,torpedo-moskau,432,RU1,29,27.2,10,34.5,4,Luzhniki Stadium,81000,€-3.21m,2022,https://www.transfermarkt.co.uk/torpedo-moskau/startseite/verein/1186,-3210000.0
12,as-rom,23,IT1,28,26.1,19,67.9,17,Olimpico di Roma,73261,+€58.49m,2022,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12,58490000.0
1421,stade-reims,418,FR1,25,24.6,16,64.0,7,Stade Auguste-Delaune,21684,+€8.55m,2022,https://www.transfermarkt.co.uk/stade-reims/startseite/verein/1421,8550000.0
234,feyenoord-rotterdam,208,NL1,27,23.5,16,59.3,13,"Stadion Feyenoord ""De Kuip""",47500,+€35.13m,2022,https://www.transfermarkt.co.uk/feyenoord-rotterdam/startseite/verein/234,35130000.0
24,eintracht-frankfurt,142,L1,30,25.2,18,60.0,11,Deutsche Bank Park,51500,€-9.40m,2022,https://www.transfermarkt.co.uk/eintracht-frankfurt/startseite/verein/24,-9400000.0
398,lazio-rom,385,IT1,26,27.2,16,61.5,9,Olimpico di Roma,73261,+€2.45m,2022,https://www.transfermarkt.co.uk/lazio-rom/startseite/verein/398,2450000.0
543,wolverhampton-wanderers,477,GB1,28,26.2,24,85.7,14,Molineux Stadium,32050,€-114.24m,2022,https://www.transfermarkt.co.uk/wolverhampton-wanderers/startseite/verein/543,-114240000.0
